,value
n_studies_total,738.0
n_studies_cirrhotic,628.0
n_studies_healthy,110.0
n_t1w,365.0
n_t2w,373.0
n_patients_cirrhotic_unique,337.0
n_patients_healthy_unique,55.0
imbalance_cirr_to_healthy,5.709
age_mean_cirr,60.261146496815286
age_mean_healthy,62.78181818181818
age_std_cirr,13.608279915405047
age_std_healthy,14.856735919052802
severity_mild,258.0
severity_moderate,223.0
severity_severe,147.0
shape_mean_x,392.8
shape_mean_y,329.1666666666667
shape_mean_z,57.9
spacing_mean_x,1.0603286544481914
spacing_mean_y,1.0603286544481914
spacing_mean_z,5.617498411734899
liver_volume_mean_cirr,1413.6074223248006
liver_volume_mean_healthy,1436.399339955095
liver_volume_median_cirr,1348.964356673956
liver_volume_median_healthy,1345.877608685255
